event_id;Agency;year;month;day;hour;minute;second;latitude;longitude;depth;magnitude;magType;catalog
sara_pre1964_000282;GOMAL015;1826;6;18;3;30;;5.014;-73.604;;6.5;Mw;sara
sara_pre1964_000283;CERES995;1826;6;21;10;0;;4.8;-73.9;;5.09;Mw;sara
sara_pre1964_000284;CERES995;1826;6;22;9;45;;4.8;-73.9;;5.09;Mw;sara
sara_pre1964_000285;CERES995;1826;7;7;0;0;;4.8;-73.9;;5.09;Mw;sara
sara_pre1964_000286;CERES995;1826;;;;;;-11.71;-47.77;;2.87;Mw;sara
sara_pre1964_000287;CERES995;1827;6;24;0;0;0;8.15;-71.959;0;5.53;Mw;sara
sara_pre1964_000288;GOMAL015;1827;11;16;23;;;1.79;-75.52;;7.52;Mw;sara
sara_pre1964_000289;CERES995;1827;11;17;4;10;;1.8;-76.4;;5.09;Mw;sara
sara_pre1964_000290;CERES995;1827;11;17;16;45;;1.8;-76.4;;5.09;Mw;sara
sara_pre1964_000291;CERES995;1828;3;16;0;0;0;-16.399;-71.599;;6.23;Mw;sara
sara_pre1964_000292;CERES995;1828;3;30;12;35;0;-12.13;-77.808;50;6.52;Mw;sara
sara_pre1964_000293;CERES995;1829;9;26;14;30;;-33.05;-71.63;;7.01;Mw;sara
sara_pre1964_000294;CERES995;1829;10;1;16;3;0;-33.399;-71.599;;6.8;Mw;sara
sara_pre1964_000295;CERES995;1829;12;9;9;30;;5;-75.5;;5.42;Mw;sara
sara_pre1964_000296;CERES995;1831;5;17;21;5;;2.5;-76.5;;5.09;Mw;sara
sara_pre1964_000297;CERES995;1831;10;9;1;30;0;-18.5;-70.349;;7.37;Mw;sara
sara_pre1964_000298;CERES995;1831;10;9;2;15;;-18.468;-71.016;60;6.52;Mw;sara
sara_pre1964_000299;CERES985;1831;12;3;23;40;;12.4;-61.45;;5.53;Mw;sara
sara_pre1964_000300;CERES995;1831;12;24;16;45;0;-36.829;-73.03;;6.8;Mw;sara
sara_pre1964_000301;CERES995;1832;1;21;15;0;0;-43;-73;;6.8;Mw;sara
sara_pre1964_000302;CERES995;1832;9;18;17;0;0;-12.4;-64.4;;3.6;Mw;sara
sara_pre1964_000303;BSB012;1832;  ;;   ;  ;     ;-20.82;-45.72;0;3.48;Mw;sara
sara_pre1964_000304;CERES995;1833;4;25;14;30;0;-28.46;-71.25;;7.37;Mw;sara
sara_pre1964_000305;CERES995;1833;9;18;10;45;;-18.251;-71.01;60;7.45;Mw;sara
sara_pre1964_000306;CERES995;1833;9;18;13;0;0;-18.5;-70.349;;7.37;Mw;sara
sara_pre1964_000307;GOMAL015;1834;1;20;12;;;0.91;-77.045;;6.74;Mw;sara
sara_pre1964_000308;CERES995;1834;3;1;13;2;;1.4;-77.099;;5.42;Mw;sara
sara_pre1964_000309;GOMAL015;1834;5;22;8;;;11.488;-74.072;;6.43;Mw;sara
sara_pre1964_000310;CERES995;1834;5;24;0;0;;12;-75;;5.42;Mw;sara
sara_pre1964_000311;CERES995;1834;6;8;9;30;;7.4;-74.9;;5.09;Mw;sara
sara_pre1964_000312;CERES995;1834;8;12;16;0;0;8.8;-70.9;0;6.22;Mw;sara
sara_pre1964_000313;CERES995;1834;;;;;;-11.71;-47.77;;2.87;Mw;sara
sara_pre1964_000314;CERES995;1835;1;23;7;0;;1.8;-79;;5.42;Mw;sara
sara_pre1964_000315;CERES995;1835;2;20;15;30;;-36.83;-73.03;;8.25;Mw;sara
sara_pre1964_000316;CERES995;1836;4;26;22;30;0;-36.829;-73.03;;6.8;Mw;sara
sara_pre1964_000317;CERES995;1836;7;3;12;30;0;-22.55;-70.26;;6.8;Mw;sara
sara_pre1964_000318;CERES995;1837;9;10;18;30;0;10.3;-66.599;0;5.53;Mw;sara
sara_pre1964_000319;CERES995;1837;11;7;11;30;;-39.8;-73.2;;8;Mw;sara
sara_pre1964_000320;CERES995;1839;4;12;0;0;0;10.47;-64.17;0;5.53;Mw;sara
sara_pre1964_000321;CERES995;1839;7;5;0;30;0;-11;-75;20;6.52;Mw;sara
sara_pre1964_000322;CERES995;1839;7;16;2;0;0;-21.84;-45.39;;3.6;Mw;sara
sara_pre1964_000323;CERES995;1840;1;28;8;0;0;-12.3;-77.299;40;5.11;Mw;sara
sara_pre1964_000324;CERES995;1840;9;18;22;30;;1.8;-78.799;;5.42;Mw;sara
sara_pre1964_000325;CERES995;1840;10;9;0;0;0;-1.35;-78.5;;5.89;Mw;sara
sara_pre1964_000326;CERES995;1840;12;11;6;15;;4.6;-74;;5.09;Mw;sara
sara_pre1964_000327;CERES995;1840;;;;;;-21.03;-44.75;;3.6;Mw;sara
sara_pre1964_000328;CERES995;1842;1;28;9;45;;4.6;-74;;5.09;Mw;sara
sara_pre1964_000329;CERES995;1843;12;17;22;15;0;-29.899;-71.25;;7.37;Mw;sara
sara_pre1964_000330;CERES985;1844;8;30;7;10;;13.23;-60.83;;6.13;Mw;sara
sara_pre1964_000331;CERES995;1844;9;18;23;;;-24.8;-64.7;30;6.52;Mw;sara
sara_pre1964_000332;CERES995;1845;1;14;0;0;0;-17.78;-63.17;;5.45;Mw;sara
sara_pre1964_000333;CERES995;1845;2;19;12;0;0;7.8;-72.2;0;6.13;Mw;sara
sara_pre1964_000334;CERES995;1845;5;0;0;0;0;-16.6;-71.599;25;6.23;Mw;sara
sara_pre1964_000335;CERES995;1845;6;4;2;15;0;-18.5;-70.349;;7.37;Mw;sara
sara_pre1964_000336;CERES995;1845;6;4;3;45;0;-16.6;-71.599;30;5.03;Mw;sara
sara_pre1964_000337;CERES995;1845;6;20;2;0;0;-25.52;-48.509;;2.14;Mw;sara
sara_pre1964_000338;CERES995;1845;10;19;19;0;0;-35.1;-59.799;30;5.42;Mw;sara
sara_pre1964_000339;CERES995;1846;3;13;11;0;0;-27.35;-70.349;;6.8;Mw;sara
sara_pre1964_000340;CERES995;1846;6;28;1;15;0;-14;-76.799;50;6.23;Mw;sara
sara_pre1964_000341;CERES995;1846;;;;;;-3.1;-40.84;;2.87;Mw;sara
sara_pre1964_000342;CERES995;1847;1;19;14;50;0;-27.35;-70.349;;6.8;Mw;sara
sara_pre1964_000343;CERES995;1847;3;8;15;0;0;-32.45;-71.269;;7.37;Mw;sara
sara_pre1964_000344;CERES995;1847;10;8;15;30;;-31.61;-71.18;;7.01;Mw;sara
sara_pre1964_000345;CERES995;1847;;;;;;-13.699;-73.099;20;7.09;Mw;sara
sara_pre1964_000346;BSB012;1848;8;9;18;35;0;-36.3;-54.8;;5.29;Mw;sara
sara_pre1964_000347;PALAL005;1849;2;26;10;;;8.05;-72.25;;6.35;Mw;sara
sara_pre1964_000348;CERES995;1849;5;3;17;5;0;10.699;-71.599;0;4.93;Mw;sara
sara_pre1964_000349;CERES995;1849;12;17;10;;;-29.95;-71.37;;7.51;Mw;sara
sara_pre1964_000350;CERES995;1850;12;6;10;52;;-33.81;-70.22;;7.26;Mw;sara
sara_pre1964_000351;CERES995;1851;2;2;10;0;;10.4;-76.4;;5.42;Mw;sara
sara_pre1964_000352;CERES995;1851;2;7;10;0;;10.4;-75.4;;5.42;Mw;sara
sara_pre1964_000353;CERES995;1851;4;2;10;48;;-33.32;-71.42;;7.51;Mw;sara
sara_pre1964_000354;CERES995;1851;5;26;17;10;;-27.35;-70.35;;7.51;Mw;sara
sara_pre1964_000355;CERES995;1851;7;5;12;0;0;-19.75;-65.579;;5.96;Mw;sara
sara_pre1964_000356;CERES995;1852;12;2;16;30;0;-4.56;-37.759;;4.08;Mw;sara
sara_pre1964_000357;CERES995;1853;7;15;;;;12.1;-63.6;14;7.31;Mw;sara
sara_pre1964_000358;CERES995;1854;1;10;10;0;0;-5.2;-35.46;;3.72;Mw;sara
sara_pre1964_000359;CERES995;1854;1;14;23;10;0;-29.949;-71.349;;6.8;Mw;sara
sara_pre1964_000360;CERES995;1854;12;23;0;0;0;0.36;-78.099;;5.42;Mw;sara
sara_pre1964_000361;CERES995;1855;7;8;10;30;;4.6;-74;;5.09;Mw;sara
sara_pre1964_000362;CERES995;1855;7;25;9;0;0;-19.949;-43.46;;4.44;Mw;sara
sara_pre1964_000363;CERES995;1855;;;;;;-3.1;-40.84;;2.87;Mw;sara
sara_pre1964_000364;CERES995;1856;2;10;0;0;0;-2.9;-79;;5.89;Mw;sara
sara_pre1964_000365;CERES995;1857;8;20;12;0;0;-5.3;-80.54;40;7.09;Mw;sara
sara_pre1964_000366;CERES995;1857;11;7;15;21;0;-27.35;-70.349;;6.8;Mw;sara
sara_pre1964_000367;CERES995;1858;4;10;12;30;0;-29.899;-71.25;;6.8;Mw;sara
sara_pre1964_000368;CERES995;1858;4;24;11;15;0;-29.899;-71.25;;6.8;Mw;sara
sara_pre1964_000369;BEAAL010;1859;3;22;13;30;;0.02;-78.75;;7.2;Mw;sara
sara_pre1964_000370;CERES995;1859;10;5;12;;;-27.35;-70.35;;7.51;Mw;sara
sara_pre1964_000371;CERES995;1860;4;22;7;0;0;-12.3;-77.299;40;6.23;Mw;sara
sara_pre1964_000372;CERES995;1860;4;22;19;0;0;-12.1;-77;;6.23;Mw;sara
sara_pre1964_000373;CERES995;1860;4;24;11;0;0;-12;-77;;6.23;Mw;sara
sara_pre1964_000374;CERES995;1860;7;12;0;0;0;-0.86;-48.13;;2.14;Mw;sara
sara_pre1964_000375;CERES995;1860;9;20;23;30;0;-18.5;-70.349;;6.8;Mw;sara
sara_pre1964_000376;CERES995;1860;10;1;0;0;0;-15.6;-56.1;;2.87;Mw;sara
sara_pre1964_000377;CERES995;1861;3;20;23;;;-32.9;-68.9;30;7.01;Mw;sara
sara_pre1964_000378;CERES995;1861;4;13;5;30;0;-13.6;-76.349;;6.23;Mw;sara
sara_pre1964_000379;TAVAL001;1861;4;13;22;30;;-13.803;-73.419;20;4.86;Mw;sara
sara_pre1964_000380;CERES995;1861;5;7;3;0;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000381;CERES995;1861;5;10;5;0;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000382;CERES995;1861;7;31;4;0;0;-22.6;-45.2;;4.56;Mw;sara
sara_pre1964_000383;CERES995;1861;8;30;1;0;0;-33.6;-70.579;;6.8;Mw;sara
sara_pre1964_000384;CERES995;1861;12;15;4;15;0;-18;-70.4;;6.23;Mw;sara
sara_pre1964_000385;CERES995;1862;5;28;18;25;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000386;CERES995;1862;7;10;18;10;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000387;CERES995;1862;8;14;7;15;0;-16.399;-71.549;;6.23;Mw;sara
sara_pre1964_000388;INPRE015;1863;1;14;;;;-23.6;-65;;6.33;Mw;sara
sara_pre1964_000389;CERES995;1863;4;9;2;45;0;-21.93;-45.25;;3.6;Mw;sara
sara_pre1964_000390;CERES995;1863;6;29;12;15;0;-16.399;-71.56;;6.23;Mw;sara
sara_pre1964_000391;CERES995;1863;10;21;0;0;0;-8.199;-79.099;;6.23;Mw;sara
sara_pre1964_000392;CERES995;1863;10;25;16;45;0;-8.199;-79.099;;6.23;Mw;sara
sara_pre1964_000393;CERES995;1863;11;29;10;30;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000394;CERES995;1864;1;12;6;9;0;-27.35;-70.349;;6.8;Mw;sara
sara_pre1964_000395;CERES995;1864;6;28;7;35;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000396;CERES995;1864;7;26;9;50;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000397;CERES995;1864;10;31;22;45;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000398;CERES995;1864;11;23;14;30;0;-2.53;-44.299;;2.99;Mw;sara
sara_pre1964_000399;CERES995;1864;12;27;5;0;0;-2.53;-44.299;;2.14;Mw;sara
sara_pre1964_000400;CERES995;1865;11;28;0;0;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000401;CERES995;1865;12;14;8;30;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000402;CERES995;1865;12;15;21;15;0;10.64;-66.92;0;4.93;Mw;sara
sara_pre1964_000403;CERES995;1866;2;3;19;30;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000404;CERES995;1866;6;22;0;0;0;-27.35;-70.349;;6.8;Mw;sara
sara_pre1964_000405;CERES995;1867;2;15;0;0;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000406;CERES995;1867;4;20;0;31;0;8.33;-71.75;0;4.93;Mw;sara
sara_pre1964_000407;CERES995;1867;8;0;0;0;0;-20.01;-47.399;;2.87;Mw;sara
sara_pre1964_000408;CERES995;1867;8;31;17;30;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000409;CERES995;1867;;;;;;-30.1;-51.2;;3.6;Mw;sara
sara_pre1964_000410;BEAAL013;1868;5;17;18;;;-1.25;-78.42;;6.2;Mw;sara
sara_pre1964_000411;CERES995;1868;5;20;0;0;0;-17.6;-71.2;;6.23;Mw;sara
sara_pre1964_000412;CERES995;1868;5;22;0;0;0;-17.6;-71.2;;6.23;Mw;sara
sara_pre1964_000413;CERES995;1868;6;10;0;0;0;-17.6;-71.2;;6.23;Mw;sara
sara_pre1964_000414;CERES995;1868;8;13;20;45;;-18.5;-70.35;;8.5;Mw;sara
sara_pre1964_000415;CERES995;1868;8;13;21;23;;-16.4;-71.56;;8.8;Mw;sara
sara_pre1964_000416;CERES995;1868;8;13;22;15;0;-18.449;-70.2;;6.23;Mw;sara
sara_pre1964_000417;CERES995;1868;8;15;0;0;;0.8;-77.7;;5.09;Mw;sara
sara_pre1964_000418;BEAAL010;1868;8;15;19;30;;0.7;-77.92;;6.6;Mw;sara
sara_pre1964_000419;BEAAL010;1868;8;16;6;40;;0.38;-78.43;;7.27;Mw;sara
sara_pre1964_000420;CERES995;1868;10;12;5;20;0;-27.35;-70.349;;6.8;Mw;sara
sara_pre1964_000421;CERES995;1869;2;14;0;30;;9;-74;;5.76;Mw;sara
sara_pre1964_000422;CERES995;1869;2;17;16;30;0;7.92;-72.239;0;6.22;Mw;sara
sara_pre1964_000423;CERES995;1869;3;6;10;30;;9;-74;;6.09;Mw;sara
sara_pre1964_000424;FUN014;1869;3;6;11;0;;7.7;-73.3;0;6.09;Mw;sara
sara_pre1964_000425;CERES995;1869;4;30;2;56;0;-35.43;-71.67;;6.8;Mw;sara
sara_pre1964_000426;CERES995;1869;7;22;15;0;0;-16.399;-71.56;;6.23;Mw;sara
sara_pre1964_000427;CERES995;1869;7;27;16;30;0;-11.3;-75.7;;6.23;Mw;sara
sara_pre1964_000428;CERES995;1869;7;29;2;0;0;-5.3;-80.599;;6.23;Mw;sara
sara_pre1964_000429;CERES995;1869;8;24;16;30;;-19.6;-70.23;;7.51;Mw;sara
sara_pre1964_000430;CERES995;1869;8;24;20;0;0;-18.1;-69.9;;6.23;Mw;sara
sara_pre1964_000431;CERES995;1869;11;4;0;30;0;-16.6;-71.65;30;5.2;Mw;sara
sara_pre1964_000432;CERES995;1870;3;28;17;40;0;-13.55;-72;;6.23;Mw;sara
sara_pre1964_000433;CERES995;1870;4;5;2;52;;4.6;-74;;5.09;Mw;sara
sara_pre1964_000434;CERES995;1870;4;6;11;0;0;-18.1;-69.9;;6.23;Mw;sara
sara_pre1964_000435;CERES995;1870;4;22;13;20;0;-22.469;-68.93;;7.37;Mw;sara
sara_pre1964_000436;CERES985;1870;6;9;0;3;;12.04;-61.45;;4.93;Mw;sara
sara_pre1964_000437;CERES995;1870;6;26;15;30;0;9.8;-69.849;0;6.16;Mw;sara
sara_pre1964_000438;CERES995;1870;7;10;18;30;0;-14.5;-72;;6.23;Mw;sara
sara_pre1964_000439;CERES995;1870;10;21;18;0;0;-16.399;-71.56;;6.23;Mw;sara
sara_pre1964_000440;CERES995;1870;11;6;5;0;0;-16.5;-71.56;;6.23;Mw;sara
sara_pre1964_000441;CERES995;1870;11;26;10;15;0;-16.5;-71.56;;6.23;Mw;sara
sara_pre1964_000442;CERES995;1871;2;23;6;30;0;-16.94;-65.379;;5.45;Mw;sara
sara_pre1964_000443;CERES995;1871;3;25;14;56;0;-33.049;-71.629;;6.8;Mw;sara
sara_pre1964_000444;CERES995;1871;4;5;4;30;0;-3.4;-44.35;;3.35;Mw;sara
sara_pre1964_000445;CERES995;1871;6;14;0;0;0;-2.53;-44.299;;2.14;Mw;sara
sara_pre1964_000446;CERES995;1871;10;5;9;;;-20.2;-70.17;;7.01;Mw;sara
sara_pre1964_000447;INPRE015;1871;10;9;;;;-23.1;-64.3;;6.33;Mw;sara
sara_pre1964_000448;CERES995;1872;11;12;2;0;0;-18.6;-43.39;;2.14;Mw;sara
sara_pre1964_000449;CERES995;1874;2;6;14;5;0;10.64;-66.92;0;4.93;Mw;sara
sara_pre1964_000450;CERES995;1874;7;6;;;;-23;-64.2;;5.9;Mw;sara
sara_pre1964_000451;CERES995;1874;8;18;3;0;0;10.5;-63.1;16;6.02;Mw;sara
sara_pre1964_000452;CERES995;1874;10;30;12;30;0;-23.5;-47.5;;3.6;Mw;sara
sara_pre1964_000453;GOMAL015;1875;5;18;16;15;;7.763;-72.428;20;6.9;Mw;sara
sara_pre1964_000454;CERES995;1875;12;6;2;30;0;-13.4;-72.7;20;5.2;Mw;sara
sara_pre1964_000455;CERES995;1876;2;11;21;0;0;-31.62;-71.18;;6.8;Mw;sara
sara_pre1964_000456;CERES995;1876;6;27;0;30;0;-16.57;-57.82;;3.6;Mw;sara
sara_pre1964_000457;CERES995;1876;10;26;14;0;0;-22.07;-69.629;;6.8;Mw;sara
sara_pre1964_000458;CERES995;1877;5;10;1;28;0;-18.329;-71.183;40;6.52;Mw;sara
sara_pre1964_000459;CERES995;1877;5;10;2;16;;-19.6;-70.23;;8;Mw;sara
sara_pre1964_000460;CERES985;1877;5;17;;;;-16;-68;;5.99;Mw;sara
sara_pre1964_000461;CERES995;1877;7;27;3;40;0;-29.949;-71.349;;6.8;Mw;sara
sara_pre1964_000462;CERES995;1877;11;26;0;0;0;-6;-77.599;20;6.23;Mw;sara
sara_pre1964_000463;CERES995;1878;1;23;;;;-20.05;-77;40;7.9;Mw;sara
sara_pre1964_000464;CERES995;1878;2;9;19;30;0;5.1;-75.5;;5.42;Mw;sara
sara_pre1964_000465;CERES995;1878;4;5;18;35;0;-16.399;-71.56;;6.23;Mw;sara
sara_pre1964_000466;CERES995;1878;4;13;0;11;0;10.3;-66.799;13;6.02;Mw;sara
sara_pre1964_000467;CERES995;1878;10;4;12;30;0;2.5;-76.5;;5.42;Mw;sara
sara_pre1964_000468;CERES995;1879;2;2;10;30;;-53;-70.67;;7.01;Mw;sara
sara_pre1964_000469;CERES995;1879;3;1;;;;-15.6;-56.1;;3.48;Mw;sara
sara_pre1964_000470;CERES995;1879;3;7;23;45;0;10.47;-66.18;0;4.93;Mw;sara
sara_pre1964_000471;CERES995;1879;5;1;0;0;0;-15.6;-56.1;;4.44;Mw;sara
sara_pre1964_000472;CERES995;1879;7;24;20;25;0;-5.77;-35.21;;3.35;Mw;sara
sara_pre1964_000473;CERES995;1880;8;15;12;48;;-31.62;-71.18;;7.51;Mw;sara
sara_pre1964_000474;INPRE015;1880;8;19;;;;-33;-69;;5.47;Mw;sara
sara_pre1964_000475;CERES995;1880;10;16;2;22;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000476;CERES995;1881;;;;;;-30.1;-51.2;;3.6;Mw;sara
sara_pre1964_000477;CERES995;1882;8;27;11;30;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000478;SGC014;1882;9;7;8;20;;10;-78;;7.8;Mw;sara
sara_pre1964_000479;CERES995;1882;9;8;8;35;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000480;CERES995;1882;9;17;23;15;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000481;CERES995;1882;9;20;18;40;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000482;CERES995;1882;10;21;0;0;0;-21.789;-46.579;;3.6;Mw;sara
sara_pre1964_000483;CERES995;1883;2;21;0;0;0;-21.859;-42.67;;2.87;Mw;sara
sara_pre1964_000484;CERES995;1883;3;8;0;0;0;7.4;-76.9;;6.09;Mw;sara
sara_pre1964_000485;CERES995;1883;3;23;0;0;0;7.4;-76.9;;5.76;Mw;sara
sara_pre1964_000486;CERES995;1883;6;12;14;30;0;8.619;-70.109;0;4.93;Mw;sara
sara_pre1964_000487;CERES995;1883;8;2;17;25;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000488;CERES995;1883;8;27;20;0;0;-2.01;-54.1;;2.14;Mw;sara
sara_pre1964_000489;CERES995;1883;10;1;11;35;0;-16.399;-71.56;;6.23;Mw;sara
sara_pre1964_000490;CERES995;1883;11;19;0;45;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000491;CERES995;1883;11;25;11;0;0;11.42;-69.68;0;4.93;Mw;sara
sara_pre1964_000492;CERES995;1883;12;18;4;0;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000493;CERES995;1884;3;5;6;30;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000494;CERES995;1884;4;24;5;38;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000495;CERES995;1884;5;27;18;45;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000496;CERES995;1884;7;5;7;20;0;-22.23;-45.939;;3.6;Mw;sara
sara_pre1964_000497;SGC014;1884;11;6;4;45;;5;-75.15;120;6.52;Mw;sara
sara_pre1964_000498;CERES995;1884;11;26;23;10;0;-19.17;-64.909;;5.45;Mw;sara
sara_pre1964_000499;CERES995;1885;1;29;0;0;0;-3.13;-60;;2.87;Mw;sara
sara_pre1964_000500;GOMAL015;1885;5;25;20;5;;2.26;-77.205;;6.32;Mw;sara
sara_pre1964_000501;CERES995;1886;3;5;16;15;0;-16.399;-71.56;;6.23;Mw;sara
sara_pre1964_000502;CERES995;1886;5;9;18;15;0;-22.66;-43.689;;4.44;Mw;sara
sara_pre1964_000503;CERES995;1886;9;29;6;50;0;9.3;-70.4;14;5.82;Mw;sara
sara_pre1964_000504;CERES995;1887;8;27;11;20;0;-25.52;-48.509;;3.6;Mw;sara
sara_pre1964_000505;CERES995;1887;9;23;4;0;0;-22.03;-63.7;;6.42;Mw;sara
sara_pre1964_000506;CERES995;1888;1;10;13;;;11.3;-62.2;;6.52;Mw;sara
sara_pre1964_000507;CERES995;1888;5;0;7;30;0;-4.19;-38.7;;3.6;Mw;sara
sara_pre1964_000508;CERES995;1888;6;5;3;20;0;-34.6;-57.899;30;5.76;Mw;sara
sara_pre1964_000509;CERES995;1888;11;2;4;0;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000510;CERES995;1888;11;17;18;0;0;9.199;-69.799;45;6.42;Mw;sara
sara_pre1964_000511;CERES995;1889;3;29;5;0;0;-18;-70.239;;6.23;Mw;sara
sara_pre1964_000512;CERES995;1889;4;2;13;28;0;-18;-70.239;;6.23;Mw;sara
sara_pre1964_000513;CERES995;1889;4;3;7;0;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000514;CERES995;1889;4;3;8;10;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000515;CERES995;1890;1;7;19;50;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000516;CERES995;1890;4;24;0;0;0;-32.75;-70.73;;6.8;Mw;sara
sara_pre1964_000517;CERES995;1890;9;19;15;30;0;-27.35;-70.349;;6.8;Mw;sara
sara_pre1964_000518;CERES995;1890;11;15;0;0;0;-17.78;-63.17;;5.45;Mw;sara
sara_pre1964_000519;CERES995;1891;8;15;11;2;0;-15.33;-68.54;;5.96;Mw;sara
sara_pre1964_000520;CERES995;1891;9;23;5;10;0;-12.08;-77;;6.23;Mw;sara
sara_pre1964_000521;CERES995;1891;10;23;16;56;0;-0.22;-78.5;;4.95;Mw;sara
sara_pre1964_000522;CERES995;1892;3;14;14;0;0;-18.5;-70.349;;6.8;Mw;sara
sara_pre1964_000523;INPRE015;1892;3;21;;;;-29.5;-65;;5.9;Mw;sara
sara_pre1964_000524;CERES995;1893;2;22;21;25;0;-29.899;-71.25;;6.8;Mw;sara
sara_pre1964_000525;CERES995;1893;9;5;22;45;0;-3.1;-79;;5.89;Mw;sara
sara_pre1964_000526;CERES995;1893;9;11;0;0;;2.5;-76.599;;5.89;Mw;sara
sara_pre1964_000527;PALAL005;1894;4;28;;;;8.7;-71.7;;7.56;Mw;sara
sara_pre1964_000528;CERES995;1894;10;27;19;30;;-30.5;-68.4;30;7.51;Mw;sara
sara_pre1964_000529;CERES995;1894;11;4;17;15;0;9.67;-70.25;0;6.16;Mw;sara
sara_pre1964_000530;CERES995;1895;5;1;8;0;;2;-75.9;;5.42;Mw;sara
sara_pre1964_000531;CERES995;1896;3;14;2;30;0;-33.049;-71.629;;6.8;Mw;sara
sara_pre1964_000532;CERES995;1896;5;3;0;0;0;-5.1;-80.45;;4.95;Mw;sara
sara_pre1964_000533;CERES995;1896;5;3;13;45;;-0.51;-80.45;;7.01;Mw;sara
sara_pre1964_000534;CERES995;1896;6;14;14;20;0;-18.5;-70.349;;6.8;Mw;sara
sara_pre1964_000535;CERES995;1896;7;6;11;2;0;-15.33;-68.54;;5.45;Mw;sara
sara_pre1964_000536;CERES995;1897;9;20;16;25;;-11.8;-78;70;7.7;Mw;sara
sara_pre1964_000537;INPRE015;1898;2;5;;;;-28.45;-66.15;;6.33;Mw;sara
sara_pre1964_000538;CERES995;1898;2;25;4;0;0;-26.93;-49.06;;3.96;Mw;sara
sara_pre1964_000539;CERES995;1898;4;0;0;0;0;-20.37;-43.409;;2.87;Mw;sara
sara_pre1964_000540;CERES995;1898;4;17;0;0;0;-0.5;-80.5;;5.89;Mw;sara
sara_pre1964_000541;CERES995;1898;7;20;4;20;0;-0.4;-80.45;;4.95;Mw;sara
sara_pre1964_000542;CERES995;1898;7;23;2;17;0;-36.829;-73.03;;6.8;Mw;sara
sara_pre1964_000543;CERES995;1898;7;29;2;0;0;-2.9;-79;;4.95;Mw;sara
sara_pre1964_000544;CERES995;1898;9;19;20;0;0;-1.56;-79.75;;4.95;Mw;sara
sara_pre1964_000545;CERES995;1899;3;23;0;30;0;-21.969;-63.67;;6.47;Mw;sara
sara_pre1964_000546;CERES995;1899;4;0;0;0;0;-18.59;-46.52;;4.08;Mw;sara
sara_pre1964_000547;INPRE015;1899;4;12;;;;-28.65;-68.4;;6.33;Mw;sara
sara_pre1964_000548;CERES995;1899;6;3;4;30;;0;-85;;7.21;Mw;sara
sara_pre1964_000549;CERES995;1899;7;14;8;30;0;10.05;-69.299;0;5.53;Mw;sara
sara_pre1964_000550;CERES995;1899;12;0;0;0;0;-13.029;-39.6;;4.44;Mw;sara
sara_pre1964_000551;CERES995;1900;6;7;22;30;0;10.5;-63.42;0;5.53;Mw;sara
sara_pre1964_000552;ISCGE013;1900;10;29;9;11;;11;-66;;7.69;Mw;sara
sara_pre1964_000553;ENGVI002;1901;1;7;0;29;;-2;-82;;7.2;Mw;sara
sara_pre1964_000554;CERES995;1901;4;4;16;0;0;-21.03;-44.75;;2.14;Mw;sara
sara_pre1964_000555;CERES995;1901;4;5;8;0;0;-21.03;-44.75;;2.14;Mw;sara
sara_pre1964_000556;CERES995;1901;6;2;2;0;0;-21.03;-44.75;;2.14;Mw;sara
sara_pre1964_000557;CERES995;1901;9;4;21;0;0;-21.03;-44.75;;2.14;Mw;sara
sara_pre1964_000558;CERES995;1901;11;21;19;19;;-14.177;-76.32;70;6.71;Mw;sara
sara_pre1964_000559;CERES995;1902;1;2;14;8;;-9;-78.4;80;6.81;Mw;sara
sara_pre1964_000560;ENGVI002;1902;3;5;19;3;;-20;-70;;6.81;Mw;sara
